mission,target_id,ra,dec,period_days,transit_duration_hours,depth_ppm,planet_radius_re,stellar_radius_rs,stellar_teff_k,stellar_logg,snr,disposition,source
KEPLER,K03337.01,294.90594,43.381889,11.16622885,3.389,353.9,1.56,0.836,5552.0,4.562,13.6,CANDIDATE,kepler_koi
KEPLER,K03337.02,294.90594,43.381889,91.172033,6.676,368.5,1.58,0.836,5552.0,4.562,7.3,FALSE POSITIVE,kepler_koi
KEPLER,K03338.01,300.78394,44.192558,10.99381963,3.7889,1685.8,40.17,1.157,6553.0,4.366,102.9,FALSE POSITIVE,kepler_koi
KEPLER,K03420.01,294.01529,42.824371,5.77451117,3.752,156.3,1.87,1.492,5821.0,4.127,11.2,CANDIDATE,kepler_koi
KEPLER,K00337.01,295.68481,47.748081,19.7830259,5.4898,373.2,2.1,1.099,5747.0,4.335,41.8,CONFIRMED,kepler_koi
KEPLER,K03420.02,294.01529,42.824371,12.5014905,3.882,220.1,2.24,1.492,5821.0,4.127,10.8,CANDIDATE,kepler_koi
KEPLER,K03421.01,289.91971,40.16853,40.6511021,11.282,136.4,1.7,1.369,6297.0,4.26,17.3,FALSE POSITIVE,kepler_koi
KEPLER,K03422.01,297.71487,41.104279,40.1454757,5.2,310.8,13.01,7.162,7852.0,3.159,5.2,FALSE POSITIVE,kepler_koi
KEPLER,K03423.01,291.06204,38.863312,30.2541186,2.134,576.3,2.8,1.161,6277.0,4.402,12.3,CONFIRMED,kepler_koi
KEPLER,K03424.01,287.9726,44.333611,17.081202417,7.20617,134143.0,39.24,0.708,5431.0,4.623,1524.8,FALSE POSITIVE,kepler_koi
KEPLER,K00343.02,295.1189,48.481281,2.024143568,2.5273,239.4,1.94,1.225,5794.0,4.263,88.4,CONFIRMED,kepler_koi
KEPLER,K03508.01,293.62357,42.129639,190.800788,8.082,287.6,1.67,0.986,5993.0,4.489,13.0,CANDIDATE,kepler_koi
KEPLER,K03509.01,290.1488,38.513279,2.97601892,5.5,306.1,164.46,7.746,5140.0,2.955,35.3,FALSE POSITIVE,kepler_koi
KEPLER,K03510.01,294.15952,45.375919,124.93576738,7.5608,240899.0,49.34,0.941,5887.0,4.477,332.8,FALSE POSITIVE,kepler_koi
KEPLER,K03511.01,291.17059,38.765209,119.67980316,32.1928,299046.0,193.91,3.251,8275.0,3.726,5357.7,FALSE POSITIVE,kepler_koi
KEPLER,K03512.01,283.07404,41.540878,6.399107136,5.21981,376769.0,59.15,0.935,6133.0,4.435,4322.4,FALSE POSITIVE,kepler_koi
KEPLER,K03513.01,298.8002,46.665539,8.480304281,7.46159,83114.6,65.0,2.21,7059.0,3.946,5219.5,FALSE POSITIVE,kepler_koi
KEPLER,K03608.01,284.81525,47.392632,244.83274973,4.37001,40206.0,38.3,0.993,6105.0,4.443,733.5,FALSE POSITIVE,kepler_koi
KEPLER,K03609.01,299.13101,41.589901,2.995357359,6.57901,172404.0,112.12,1.94,5949.0,3.892,1467.6,FALSE POSITIVE,kepler_koi
KEPLER,K03610.01,295.21167,42.786289,3.840485025,2.8592,31353.0,39.38,0.823,5731.0,4.532,259.4,FALSE POSITIVE,kepler_koi
KEPLER,K00351.02,284.4335,49.305161,210.6013843,11.9922,4159.3,7.7,1.2,5970.0,4.317,232.4,CONFIRMED,kepler_koi
KEPLER,K03611.01,286.2449,42.146431,10.443341795,3.94077,145294.0,44.35,1.005,6137.0,4.421,842.1,FALSE POSITIVE,kepler_koi
KEPLER,K03612.01,283.91565,47.784569,19.515013291,4.59379,256442.0,53.03,0.851,5349.0,4.531,1018.8,FALSE POSITIVE,kepler_koi
KEPLER,K03613.01,298.13141,41.950989,3.053578643,3.22884,52879.9,35.35,0.714,5414.0,4.625,661.4,FALSE POSITIVE,kepler_koi
KEPLER,K03702.01,292.69629,37.707237,4.944046127,4.50334,112503.0,54.29,1.0,5780.0,4.438,537.2,FALSE POSITIVE,kepler_koi
KEPLER,K03703.01,299.54694,40.861271,4.464565251,4.0221,74112.0,43.21,0.853,5743.0,4.553,286.4,FALSE POSITIVE,kepler_koi
KEPLER,K03704.01,290.17883,37.848949,1.523298835,5.9083,195071.0,38.95,0.866,5311.0,4.469,174.4,FALSE POSITIVE,kepler_koi
KEPLER,K03705.01,299.02353,41.82198,2.080431782,7.4997,894203.0,345.7,2.115,8344.0,4.04,1585.2,FALSE POSITIVE,kepler_koi
KEPLER,K00353.03,295.21268,49.56218,11.1619384,5.195,124.4,1.97,1.64,6200.0,4.072,13.4,CANDIDATE,kepler_koi
KEPLER,K03706.01,297.18048,43.477112,1.157804607,4.66082,605713.0,118.11,1.425,6510.0,4.219,1837.9,FALSE POSITIVE,kepler_koi
KEPLER,K03707.01,299.15503,40.288132,19.979098,10.5638,38418.0,22.98,1.126,5907.0,4.296,449.1,FALSE POSITIVE,kepler_koi
KEPLER,K03798.01,298.57819,40.67548,2.991885335,7.4319,1356.9,3.94,0.839,5750.0,4.464,160.2,FALSE POSITIVE,kepler_koi
KEPLER,K03799.01,299.81671,45.332821,1.327471395,5.2334,5673.8,7.08,0.777,5232.0,4.519,218.7,FALSE POSITIVE,kepler_koi
KEPLER,K03800.01,294.10733,46.209469,1.247156944,2.6779,134761.0,26042.9,9.67,4770.0,2.605,92.4,FALSE POSITIVE,kepler_koi
KEPLER,K03801.01,295.20694,45.09819,288.3128666,5.419,11181.0,13.21,1.22,5672.0,4.252,96.8,CANDIDATE,kepler_koi
KEPLER,K03802.01,294.30585,40.193779,2.119100054,8.2163,1651.1,34.34,1.078,6292.0,4.426,195.7,FALSE POSITIVE,kepler_koi
KEPLER,K00363.01,290.27777,37.78933,2.442945167,4.0145,677.9,38.29,1.428,5657.0,4.121,102.8,FALSE POSITIVE,kepler_koi
KEPLER,K03803.01,292.16907,41.619759,14.5417471,5.6067,1088.6,163.25,5.922,5032.0,3.042,71.2,FALSE POSITIVE,kepler_koi
KEPLER,K03899.01,294.35196,38.604702,0.7967202,4.25304,167719.0,56.89,1.0,5780.0,4.438,716.6,FALSE POSITIVE,kepler_koi
KEPLER,K03900.01,290.15457,50.259689,359.102042,16.949,1102.9,28.76,1.108,6355.0,4.41,26.5,FALSE POSITIVE,kepler_koi
KEPLER,K03901.01,297.41443,46.060822,160.130899,13.775,1183.0,6.67,1.759,6092.0,4.056,32.4,CONFIRMED,kepler_koi
